cytoband	5q35.1	7q31.2	2q32.1	3q26.32	17q24.3	Xq11.2	10p14	1q32.1	8q24.22	
q value	5.8456e-42	3.2009e-07	0.00010935	0.0001149	0.017894	0.036599	0.11691	0.19244	0.2129	
residual q value	5.8456e-42	3.2009e-07	0.00010935	0.0001149	0.017894	0.036599	0.11691	0.19244	0.2129	
wide peak boundaries	chr5:163593195-180915260	chr7:116382828-116391555	chr2:172809655-212709797	chr3:162477826-198022430	chr17:48641966-81195210	chrX:64003371-64052730	chr10:1-22423301	chr1:120522602-216075493	chr8:69506698-146364022	
genes in wide peak	TRIM52	MET	RNA5SP119	FAM157A	MIR4525	[ZC4H2]	RN7SKP37	SNORD116|ENSG00000202498.1	ZNF252P	
	SNORD95|ENSG00000264549.1		RPE	FYTTD1	RAB40B		RN7SKP219	RN7SL512P	RN7SL395P	
	SNORD96A		RNA5SP118	snoU13|ENSG00000238491.1	snoU13|ENSG00000238403.1		MIR1915	SNORA16B	C8orf82	
	LINC00847		RNA5SP117	MIR4797	snoU13|ENSG00000238947.1		CASC10	RN7SKP98	MIR1234	
	MIR340		CRYGEP	U4|ENSG00000272359.1	DUS1L		U3|ENSG00000251749.1	MIR3122	MIR939	
	RN7SKP150		snoU13|ENSG00000238582.1	RN7SL738P	PCYT2		RNA5SP303	SNORA26|ENSG00000212187.1	TMEM249	
	MIR1229		RNA5SP116	RN7SL434P	SLC25A10		U3|ENSG00000200545.1	RN7SL344P	DGAT1	
	HMGB3P22		MIR2355	UBXN7	LINC00482		C10orf112	SLC30A1	SCXA	
	RN7SL71P		FASTKD2	SDHAP1	MIR1250		TMEM236|ENSG00000184040.7	KCNH1	SCXB	
	ZNF879		RN7SKP260	RN7SL773P	MIR657		MRC1L1	SERTAD4	MIR661	
	ZNF354B		RN7SKP200	LINC00969	MIR4730		snoR442|ENSG00000251959.1	MIR4260	EPPK1	
	AACSP1		SNORA41|ENSG00000207406.1	RNU6ATAC24P	CBX8		ST8SIA6	MIR205HG	MIR937	
	RN7SKP70		SNORD51|ENSG00000207047.2	RN7SL36P	snoU13|ENSG00000239173.1		snoU13|ENSG00000238552.1	MIR29B2	CCDC166	
	RN7SL646P		NDUFS1	MIR3137	ENGASE		SNORA31|ENSG00000252537.1	MIR29C	7SK|ENSG00000254144.2	
	RN7SL562P		Vault|ENSG00000252485.1	LINC00884	DDC8		snoU13|ENSG00000239130.1	snoU13|ENSG00000238401.1	ZNF696	
	EIF4E1B		RN7SKP178	LINC00887	RN7SL454P		ITGA8	FAIM3	ZFP41	
	MIR4281		RN7SL670P	RN7SL215P	SNORA30|ENSG00000200063.1		NMT2	IL20	LY6K	
	RN7SL684P		SNORA1|ENSG00000202059.1	RN7SL447P	RN7SL236P		ACBD7	SNORD112|ENSG00000252853.1	JRK	
	MIR1271		WDR12	snoU13|ENSG00000238902.1	FLJ45079		MEIG1	C1orf147	ARC	
	ARL10		RN7SL40P	RN7SKP222	LINC00338		CDNF	SRGAP2	LINC00051	
	RN7SKP148		RN7SL753P	RN7SKP296	LINC00868		RNA5SP302	SNORD60|ENSG00000252692.1	SNORD5|ENSG00000238854.1	
	snoU13|ENSG00000239026.1		SNORD11|ENSG00000238317.1	RN7SL486P	MIR636		RNA5SP301	C1orf186	PTP4A3	
	NSG2		SNORD11B	MIR944	SNORD1B		RNA5SP300	AVPR1B	RNA5SP278	
	RNA5SP200		SNORD70|ENSG00000212309.1	MIR28	SNHG16		MIR4480	FAM72A	MIR151A	
	SNORA74B		SNORD70|ENSG00000212534.1	snoU13|ENSG00000239093.1	PRCD		RNU6ATAC39P	SNORA72|ENSG00000201944.1	CASC7	
	ATP6V0E1		snoU13|ENSG00000238770.1	RTP4	snoU13|ENSG00000238418.1		SNORD45|ENSG00000252438.1	SNORD112|ENSG00000252946.1	C8orf17	
	MIR5003		RN7SL694P	SNORA4|ENSG00000263776.1	MYO15B		RN7SL198P	SCARNA20|ENSG00000251861.1	SNORA25|ENSG00000251744.1	
	SNORA57|ENSG00000212529.1		ORC2	SNORA63|ENSG00000200320.1	RN7SL573P		RN7SL232P	RNA5SP75	SNORA40|ENSG00000212273.1	
	C5orf50		RNA5SP115	SNORA81|ENSG00000221420.2	MIR3615		snoU13|ENSG00000238900.1	RNA5SP74	WISP1	
	SNORA70|ENSG00000206909.1		AOX2P	SNORA63|ENSG00000200418.1	CD300LD		U6|ENSG00000272507.1	SNRPE	HPYR1	
	RN7SL339P		RN7SL717P	SNORD2|ENSG00000238942.1	GPRC5C		LINC00710	ZBED6	OC90	
	snoU13|ENSG00000252387.1		PLCL1	KNG1	RNA5SP448		SFTA1P	SNORA77|ENSG00000221643.1	SNORA72|ENSG00000252158.1	
