cytoband	8q24.21	11q13.2	3q26.2	8p11.23	Xp22.2	14q21.1	Xq25	1q22	3q21.3	16q11.2	17q23.2	4q13.3	7q22.1	15q11.2	12q23.1	7p14.3	Xq21.1	13q12.11	Xq21.31	9q33.3	20q13.2	4p16.3	5q35.3	8q22.1	Xq12	19q13.43	17p11.2	18q21.31	
q value	7.1078e-07	1.1386e-05	2.4906e-06	0.00020824	0.00021979	0.00029839	0.00029839	0.00077815	3.0773e-05	0.0028453	0.0039738	0.0084619	0.012709	0.015423	0.016187	0.02772	0.026607	0.047145	0.047145	0.059049	0.07085	0.11475	0.16448	3.7005e-05	0.020479	0.17703	0.19657	0.21414	
residual q value	2.307e-06	1.1386e-05	7.7068e-05	0.00020824	0.00021979	0.00029839	0.00042661	0.00077815	0.0022615	0.0028453	0.0039738	0.0084619	0.012709	0.015423	0.016187	0.02772	0.036499	0.047145	0.047145	0.059049	0.07085	0.11475	0.16448	0.16448	0.17268	0.17703	0.19657	0.21414	
wide peak boundaries	chr8:128010769-128819008	chr11:66543112-69956664	chr3:169415894-170116437	chr8:37058175-39397988	chrX:16762003-17153492	chr14:37963714-38056422	chrX:126306276-126315813	chr1:153559798-155287521	chr3:127875022-128424455	chr16:46507666-47387972	chr17:59788818-60189565	chr4:73892436-74219241	chr7:84702970-108687578	chr15:1-26017542	chr12:76102112-123735875	chr7:15167171-38501064	chrX:80829747-80833679	chr13:19557151-24578109	chrX:87704771-87710744	chr9:101892280-132370359	chr20:41749332-63025520	chr4:1-2082008	chr5:120671010-180915260	chr8:64514471-114579611	chrX:64162405-67316938	chr19:53895880-58255438	chr17:18860536-19264731	chr18:55901999-56446055	
genes in wide peak	POU5F1B	FGF3	TERC	ADAM3A	SNORA16|ENSG00000201467.1	MIPOL1	[CXorf64]	GBAP1	MIR1280	ITFG1	RN7SL800P	SNORA3|ENSG00000221639.1	FLJ00325	RNA5SP390	RN7SL133P	TRGV1	[SH3BGRL]	ANKRD20A19P	[CPXCR1]	LINC00963	NPBWR2	MIR943	TRIM52	snoU13|ENSG00000238656.1	AR	ZNF134	MIR1180	SNORD28|ENSG00000252284.1	
	CASC8	MIR3164	PRKCI	ADAM5	SYAP1			EFNA3	GATA2	snoU13|ENSG00000238834.1	BRIP1	RNU6ATAC5P	U3|ENSG00000238297.1	ATP10A	MIR4304	TRGV2		LINC00352		RN7SL159P	MIR647	SCARNA22	SNORD95|ENSG00000264549.1	SNORD112|ENSG00000252559.1	MSN	ZNF548	SNORD3C	MALT1	
	CCAT1	TPCN2	SKIL	SNORD38|ENSG00000207199.1	RBBP7			MIR4258	RPN1	MYLK3	MED13	ANKRD17	snoU109|ENSG00000238832.1	SNORD109B	HCAR1	TRGV3		LINC00327		C9orf106	MIR1914	RN7SL671P	SNORD96A	TMEM74	OPHN1	ZNF805	SNORD3A	NEDD4L	
	PCAT2	MIR4691	SEC62	PLEKHA2	REPS2			SNORD59|ENSG00000252682.1	C3orf27	VPS35	INTS2	COX18	RNA5SP236	SNORD115|ENSG00000212428.1	SNORA9|ENSG00000252192.1	TRGV4		LINC00362		snoU13|ENSG00000239055.1	C20ORF135	SNORA48|ENSG00000212458.1	LINC00847	RNA5SP275	HEPH	ZNF264	GRAPL	ALPK2	
	PCAT1	FAM86C2P	GPR160	RPS20P22	TXLNG			SNORA58|ENSG00000201129.1	EEFSEC	ANKRD26P1			SNORD112|ENSG00000251911.1	SNORD109A	ZCCHC8	TRGV5		RNY3P4		RN7SL560P	SLC2A4RG	TMED11P	MIR340	snoU13|ENSG00000238687.1	VSIG4	DUXA	SNORD3D	MIR122	
	MYC	DOC2GP	MYNN	STAR				C1orf189	DNAJB8	DNAJA2			RN7SL8P	SNORD108	MLXIP	TRGV8		LINC00621		HMGA1P4	MIR4326	RN7SL358P	RN7SKP150	RIMS2	ZC4H2	U3|ENSG00000252683.1	GRAP		
	PVT1	C11orf72	LRRC31	RN7SL709P				RN7SL431P		ORC6			LHFPL3	SNORD64|ENSG00000270704.2	BCL7A	TRGV9		SNORD36|ENSG00000253094.1		URM1	MIR3196	ZNF721	MIR1229	MIR3151	EDA2R	MIMT1	FAM83G		
		RN7SL59P	PHC3	BRF2				MIR5698		SHCBP1			RN7SKP86	SNHG14	ORAI1	TRGV10		LINC00424		MIR4672	HAR1A	ABCA11P	HMGB3P22	RNU6ATAC8P	LAS1L	SMIM17	EPN2		
		PTPRCAP	ACTRT3	ZNF703				U3|ENSG00000252669.1		NETO2			RN7SKP198	SNURF	SNORA70|ENSG00000201945.1	TRGV11		RN7SL766P		RNA5SP296	HAR1B	MIR571	RN7SL71P	snoU13|ENSG00000238533.1	ZC3H12B	ZNF71	B9D1		
		RN7SKP239	LRRC34	ADRB3				snoU13|ENSG00000238511.1		GPT2			FAM185A	snoU13|ENSG00000238615.1	GATC	TRGJP1		snoU13|ENSG00000238878.1		SNORA65	LINC00029	ZNF141	ZNF879	snoU13|ENSG00000238372.1	MIR223	ZSCAN5D	SLC5A10		
		POLD4	LRRIQ4	EIF4EBP1				RN7SL372P		C16orf87			POLR2J2	PWRN1	RPS27P25	TRGJP		ZDHHC20		SNORD116|ENSG00000252985.1	GID8	ZNF732	ZNF354B	RN7SL563P		ZSCAN5C			
		snoU13|ENSG00000238892.1	SAMD7	FGFR1				ADAR					MIR4467	PWRN2	MIR4498	TRGJ1		RNA5SP25		NRON	LINC00659	ZNF876P	AACSP1	NACAP1		RFPL4AL1			
		SYT12		TACC1				CHRNB2					MIR5090	MAGEL2	snoU13|ENSG00000272464.1	TRGC1		MIPEPP3		RN7SL30P	LINC00686	ZNF718	RN7SKP70	RN7SKP249		RN7SKP109			
		U3|ENSG00000252709.1		ADAM9				CKS1B|ENSG00000173207.8					MIR4285	RN7SL536P	MIR1178	TRGJP2		ESRRAP2		MIR181A2HG	MIR133A2	ZNF595	RN7SL646P	RN7SL685P		CCDC106			
		ADRBK1		ASH2L				CLK2					SH2B2	GOLGA8S	RN7SKP197	TRGJ2		RN7SL80P		RN7SL302P	MIR4758	ATP5I	RN7SL562P	RNU6ATAC41P		TMEM238			
		ALDH3B1		BAG4				EFNA1					SNORA48|ENSG00000252824.1	RN7SL106P	RN7SL508P	TRGC2		SNORD27|ENSG00000252128.1		MIR601	ATP5E	CTBP1	EIF4E1B	MIR1273A		SYT5			
		ALDH3B2		ERLIN2				EFNA3					RABL5	HERC2P2	SNORA38|ENSG00000201042.1	SNORA51|ENSG00000200113.1		snoU13|ENSG00000238893.1		GPR21	MGC4294	DGKQ	MIR4281	SNORD77|ENSG00000212414.1		snoU13|ENSG00000239137.1			
		CCND1		PROSC				EFNA4					MIR4653	RN7SL495P	RNA5SP374	snoU13|ENSG00000238772.1		HNRNPA1P30		SNORD90	ANKRD60	FGFR3	RN7SL684P	RN7SL350P		KIR3DX1			
		CHKA		DDHD2				FDPS					RN7SKP54	WHAMMP3	HRK	MIR1200		MIR4499		RN7SL227P	RAE1	GAK	MIR1271	RN7SKP85		LILRA6			
		CPT1A		GPR124				GBA					MUC3A	RN7SL545P	MAP1LC3B2	PP13004		LINC00556		RBM18	RN7SL170P	IDUA	ARL10	KCNS2		LENG1			
		FGF4		LSM1				IL6R					MUC3A	GOLGA8DP	LINC00173	SEPT7		snoU13|ENSG00000238665.1		RN7SL187P	U3|ENSG00000252536.1	LETM1	RN7SKP148	NIPAL2		NDUFA3			
