cytoband	8p23.2	13q14.2	1p36.13	19p13.3	10q23.31	3p21.31	11q23.3	11p15.5	17p12	9p21.3	6q27	15q13.1	4q35.2	2q37.3	7q36.1	17q21.31	21q11.2	11q25	16q24.3	6q15	6p25.3	5q11.2	18q23	10q26.3	1p21.2	14q24.1	20p13	12p13.1	9p23	4p16.3	12q24.31	19q13.32	5q21.3	12q23.1	11q13.1	7p22.3	9q21.11	8p11.21	22q13.32	9q34.2	14q32.12	22q11.1	
q value	8.4398e-52	9.9961e-45	1.4923e-44	1.9819e-34	1.8342e-37	4.5968e-31	7.1709e-58	3.0727e-19	2.0518e-17	5.2601e-27	3.2026e-22	9.0465e-17	3.426e-15	2.4898e-11	9.3636e-11	4.8302e-10	1.3789e-08	1.2331e-52	7.2395e-08	1.3052e-12	2.197e-07	1.1352e-11	1.1472e-05	9.4498e-14	5.7821e-10	6.1292e-10	0.00054775	0.00060722	6.6265e-08	0.0053415	6.3933e-07	0.011894	4.3456e-06	4.3691e-06	1.2183e-05	0.056864	0.0027367	0.0095702	0.036477	0.070727	1.4717e-06	0.080277	
residual q value	5.935e-51	9.9961e-45	2.0655e-38	1.9479e-34	4.2699e-31	4.5968e-31	1.1737e-27	3.131e-19	2.0615e-17	2.7046e-17	8.6508e-17	9.6069e-17	3.426e-15	2.4898e-11	9.2515e-11	4.8302e-10	1.3627e-08	2.2742e-08	6.9301e-08	1.1664e-07	2.1942e-07	6.4862e-07	1.1472e-05	2.5932e-05	0.00027635	0.00047979	0.00054127	0.00061058	0.0050046	0.0052694	0.0082376	0.012174	0.015516	0.035899	0.037019	0.056499	0.080971	0.1172	0.1172	0.12849	0.13675	0.24298	
wide peak boundaries	chr8:2112968-4985851	chr13:48875329-49064807	chr1:12675879-21133098	chr19:1530034-1867911	chr10:89615138-89755074	chr3:48538628-50719344	chr11:108811192-118315445	chr11:1-549958	chr17:11919496-12456081	chr9:21931610-22448737	chr6:167553035-168862573	chr15:28096454-31198928	chr4:178373557-191154276	chr2:234733390-243199373	chr7:151817415-152136074	chr17:40426490-44841630	chr21:1-15594370	chr11:133400280-135006516	chr16:88525832-90354753	chr6:81053411-99284305	chr6:1-4499427	chr5:53606296-72180482	chr18:68317374-78077248	chr10:129922812-135534747	chr1:84463129-117457733	chr14:65054827-76777413	chr20:1-815752	chr12:12506852-13351669	chr9:7887952-12687261	chr4:1-1284820	chr12:118808682-133851895	chr19:46913750-47763284	chr5:105881819-107071504	chr12:99119269-100424312	chr11:64135299-65684611	chr7:1-5318038	chr9:38619152-71152237	chr8:42883855-47750537	chr22:46241129-51304566	chr9:131788669-141213431	chr14:81998189-107349540	chr22:1-18218209	
genes in wide peak	RN7SL872P	RB1	UBXN10	MIR1909	SNORD74|ENSG00000200891.1	RNA5SP131	RN7SL86P	RN7SL838P	MIR744	CDKN2A	TCP10	RN7SL82P	RNA5SP175	CXXC11	KMT2C	FAM215B	RNA5SP488	IGSF9B	FAM157C	RN7SL509P	RNA5SP202	MIR4804	RBFA	MIR3944	MIR548AC	TGFB3	TCF15	HTR7P1	RN7SL5P	SNORA48|ENSG00000212458.1	ANHX	RN7SL533P	RN7SL782P	RNA5SP366	AP5B1	ZNF890P	CBWD3	RN7SKP41	ARSA	FAM157B	RNA5SP389	snoU13|ENSG00000251737.1	
	RNA5SP251	LPAR6	PLA2G2C	ONECUT3	PTEN	SEMA3B	CD3G	ODF3	MAP2K4	CDKN2B	TTLL2	U8|ENSG00000252602.1	RNA5SP174	RNA5SP122		RN7SL199P	ANKRD20A11P	NCAPD3	TUBB8P7	RN7SL797P	snoU13|ENSG00000252668.1	RN7SL153P	RBFADN	TUBGCP2	ATP1A1OS	C14orf1	CSNK2A1	SNORD88	SNORD27|ENSG00000251699.1	TMED11P	ZNF891	snoU13|ENSG00000252071.1	SNORA31|ENSG00000252337.1	ANKS1B	RN7SL309P	RNF216P1	PGM5P2	U3|ENSG00000201329.1	RN7SL500P	TUBBP5	LINC00221	RN7SL843P	
	CSMD1		PLA2G2D	UQCR11	KLLN	SLC38A3	MPZL3	HRAS		C9orf53	GPR31	RN7SL628P	HSP90AA4P	MIR3133		RN7SL656P	CYP4F29P	ACAD8	URAHP	SNORA18|ENSG00000252249.1	C6ORF50	MIR4803	SALL3	C10orf91	U3|ENSG00000221040.1	RNA5SP387	DEFB128	GPRC5A	PTPRD	RN7SL358P	ZNF140	MIR320E	EFNA5	FAM71C	MIR4489	AP5Z1	RNA5SP284	POTEA	DENND6B	MRPL41	LINC00226	CECR9	
			PLA2G5	RN7SL477P		GNAT1	TMPRSS4	PSMD13			KIF25	GOLGA8H	CYP4V2	RNPEPL1		RN7SL739P	ANKRD30BP2	B3GAT1	TUBB3	U3|ENSG00000221455.1	RNA5SP201	snoU13|ENSG00000238451.1	RNA5SP461	BNIP3	SNORA42|ENSG00000207502.1	RNU4ATAC14P	DEFB127	MIR613		ZNF721	RNU4ATAC12P	RN7SL364P			MIR4690	snoU13|ENSG00000238781.1	SNORA70|ENSG00000252878.1	FNTA	TTLL8	snoU13|ENSG00000272272.1	ADAM6	CECR3	
			RN7SL304P	TCF3		MIR566	SCARNA11|ENSG00000252992.1	RNH1			MLLT4	U8|ENSG00000207430.1	SNORA31|ENSG00000253013.1	MIR149		LRRC37A4P	BAGE2	THYN1	SNORD68	U3|ENSG00000200492.1	C6orf195	GTF2H2B	SNORA25|ENSG00000199392.1	PPP2R2D	RN7SL420P	SNORA7|ENSG00000222604.1	DEFB126	DUSP16		ABCA11P	RNA5SP379	CALM3			MALAT1	RN7SKP130	RN7SL787P	SGK196	ALG12	RNF224	KIAA0125	CECR7	
			PLA2G2E	UQCR11		RN7SL217P	PCSK7	IFITM1			C6orf123	ULK4P2	TLR3	MIR2467		RN7SL730P	SNORA70|ENSG00000252199.1	JAM3	SLC22A31	RN7SL415P	RN7SL352P	RN7SL9P	GALR1	LINC00959	RN7SL432P	ISCA2	DEFB125	LOH12CR2		MIR571	LRCOL1	AP2S1			POLA2	snoU13|ENSG00000238857.1	RNA5SP283	HGSNAT	RN7SKP252	TMEM210	IGHJ1	HSFY1P1	
			snoU13|ENSG00000239027.1	MBD3		MIR5193	RNY4P6	IFITM3			UNC93A	RN7SL796P	snoU13|ENSG00000239034.1	MIR4441		RNA5SP443	RN7SL52P	GLB1L2	MIR4722	RN7SKP110	snoU13|ENSG00000238438.1	snoU13|ENSG00000238740.1	LINC00683	MIR4297	DENND2C	MIR4709	SOX12	CDKN1B		ZNF141	MUC8	ARHGAP35			SLC22A20	MIR4648	RN7SL544P		CDPF1	MIR3621	IGHJ2	TPTEP1	
			RN7SL277P	REXO1		RNA5SP130	ZNF259	IFITM2			FRMD1	GOLGA8Q	PDLIM3	MIR4440		MAP3K14	TEKT4P2	VPS26B	MIR5189	CASP8AP2	BPHL	GUSBP3	ZNF516	MGMT	BCL2L15	RN7SL530P	RBCK1	CREBL2		ZNF732	SNORA49	NPAS1			FAU	GRIFIN	SNORA70|ENSG00000252133.1		C22orf26	snoU13|ENSG00000238824.1	IGHJ3	KCNMB3P1	
			RN7SL85P	KLF16		C3orf62	snoU13|ENSG00000238625.1	PKP3			DACT2	RN7SL196P	UFSP2	FAM132B		FAM187A	MIR3648	GLB1L3	AFG3L1P	snoU13|ENSG00000238747.1	SERPINB1	RN7SL616P	SMIM21	ADAM8	LRIG2	LIN52	TRIB3	GPR19		ZNF876P	RNA5SP378	PTGIR			RN7SL114P	MIR4655	FAM27E1		LINC00899	SNORD62	IGHJ4	OR11H1	
			AKR7A2	ATP8B3		RN7SL182P	LINC00900	SIRT3			TCP10L2	GOLGA8R	SNORD79	SNORD39|ENSG00000263723.1		CCDC103	TPTE	SPATA19	APRT	RN7SL11P	FOXF2	RN7SL476P	ZADH2	CYP2E1	snoU13|ENSG00000238975.1	ENTPD5	NRSN2	HEBP1		ZNF718	RNA5SP377	SLC1A5			MIR1237	ELFN1	RN7SL722P		ACR	CLIC3	IGHJ5	POTEH	
			AKR7A3	MEX3D		NDUFAF3	snoU13|ENSG00000239153.1	BET1L				U8|ENSG00000238519.1	RN7SL28P	RBM44		RN7SL405P	LIPI	MIR4697	C16orf3	RN7SL336P	FOXC1	snoU13|ENSG00000238334.1	RN7SL551P	ECHS1	WNT2B	snoU13|ENSG00000238330.1	ZCCHC3	DDX47		ZNF595	RNA5SP376	SAE1			ARL2	UNCX	SNORA70|ENSG00000252617.1		CHKB	C9orf141	IGHJ6	ATP6V1E1	
			MIR1290			MIR4793	ACA59|ENSG00000252870.1	SIGIRR				RN7SL469P	snoU13|ENSG00000239116.1	COPS8		RN7SL819P	POTED		CBFA2T3	SNORA73|ENSG00000222145.1	GMDS	SNORA50|ENSG00000220986.1	RN7SL401P	INPP5A	snoU13|ENSG00000238761.1	ACOT4	SCRT2	GPRC5D		ATP5I	RAN	ZC3H4			VPS51	MIR339	FAM27E2		CPT1B	MIR4479	IGHM	IL17RA	
