cytoband	9p21.3	9p23	13q12.11	1p13.1	22q13.32	4q34.3	8p23.2	21q11.2	15q11.2	12p13.2	16q23.1	18q21.32	9q21.11	6q26	19q13.33	10p15.3	19p13.3	5q12.1	Xp22.2	11q25	17p13.3	2q22.1	11p15.5	16q24.3	14q32.33	19p13.2	5q31.1	13q34	12q24.33	3q29	6q14.3	1p36.13	10q26.3	18q23	8p11.21	12q12	11q23.1	15q15.1	3p21.31	3q11.1	20p13	4p16.3	20q13.12	16p13.3	4q22.1	3p26.2	
q value	3.2185e-144	8.4136e-33	5.6538e-16	2.5961e-13	2.7153e-11	2.0344e-11	1.6137e-07	7.0035e-07	4.137e-10	1.5736e-06	4.26e-11	1.1082e-09	5.3648e-11	2.3027e-06	1.5526e-05	8.1808e-05	1.9197e-08	9.6391e-07	0.00020428	6.5443e-08	0.00029194	0.00032871	0.00044751	1.4158e-09	0.0018747	1.6249e-05	7.4776e-05	2.385e-05	0.0059643	0.010111	0.0021365	0.0024765	0.032471	7.7609e-08	0.032073	0.010111	4.2393e-06	6.8561e-07	0.0021265	0.012057	0.15188	0.16034	0.18308	0.1886	0.050802	0.068154	
residual q value	1.8067e-121	2.298e-14	7.3584e-14	3.7254e-12	2.7153e-11	1.402e-10	1.8002e-07	7.0035e-07	1.5301e-06	3.0372e-06	3.4871e-06	5.5362e-06	7.6135e-06	2.0951e-05	3.7441e-05	8.1808e-05	8.1808e-05	9.6214e-05	0.00020428	0.00028736	0.0003037	0.00032871	0.00044751	0.0012685	0.0019025	0.0019025	0.0029605	0.0029605	0.0072904	0.012306	0.026253	0.030032	0.03256	0.034246	0.03707	0.045794	0.061487	0.079823	0.08375	0.085093	0.15298	0.1609	0.18308	0.1886	0.2233	0.23538	
wide peak boundaries	chr9:21931610-22003135	chr9:9437437-12687261	chr13:1-20714074	chr1:98382483-149881397	chr22:46723702-51304566	chr4:177251457-191154276	chr8:1953486-6207718	chr21:1-16335988	chr15:1-32929863	chr12:7480129-18235892	chr16:78098006-79299841	chr18:47343760-60328268	chr9:38619152-71152237	chr6:161693099-163153207	chr19:46521254-50374495	chr10:1-2048902	chr19:1-437820	chr5:58151172-59818245	chrX:9130283-9757524	chr11:126871640-135006516	chr17:1-3301779	chr2:140708948-143637838	chr11:1-3406308	chr16:87349800-90354753	chr14:73030485-107349540	chr19:11040707-11207540	chr5:83677261-137891389	chr13:112553040-115169878	chr12:76351808-133851895	chr3:182880112-198022430	chr6:56256975-124125707	chr1:1-32049393	chr10:127697998-135534747	chr18:64748327-78077248	chr8:42883855-47750537	chr12:33514047-39688977	chr11:101778711-135006516	chr15:24927774-49006476	chr3:42843625-62385826	chr3:86411486-93767487	chr20:1-17924213	chr4:1-14496314	chr20:36033090-50401160	chr16:1-2061465	chr4:57892644-138441369	chr3:1-31270358	
genes in wide peak	CDKN2A	RN7SL5P	snoU13|ENSG00000238665.1	HIST2H3A	ARSA	RNA5SP175	RN7SKP159	RNA5SP488	RN7SL286P	ERP27	RNA5SP431	RN7SL705P	CBWD3	PARK2	MIR4749	ADARB2	OR4F17	FKSG52	GPR143	snoU13|ENSG00000238693.1	OR1E1	RN7SL283P	SNORA54	FAM157C	RNA5SP389	RN7SL192P	RN7SL682P	MIR548AR	ANHX	FAM157A	CLVS2	FABP3	MIR3944	RBFA	RN7SKP41	ALG10B	snoU13|ENSG00000238693.1	RN7SKP139	PTPRG	U3|ENSG00000212598.1	RN7SKP69	HSP90AB2P	MIR3194	SNHG9	LINC00613	RNA5SP127	
	C9orf53		RN7SL166P	HIST2H2AA3	RN7SL500P	RNA5SP174	RN7SL318P	ANKRD20A11P	RN7SL539P	ART4	PIH1	RNF152	PGM5P2		ADM5	MIR5699	FAM138F	MIR582	TBL1X	RNU6ATAC12P	OR1D4	LRP1B	SLC22A18AS	TUBB8P7	LINC00221	SMARCA4	snoU13|ENSG00000238605.1	LINC00565	ZNF891	FYTTD1	RN7SL564P	SNORD85	TUBGCP2	RBFADN	U3|ENSG00000201329.1	RNA5SP359	RNU6ATAC12P	FKSG62	U3|ENSG00000212211.1	HTR1F	U3|ENSG00000212165.1	RNA5SP156	RN7SL672P	SNORA64|ENSG00000207405.1	PCDH10	U3|ENSG00000199927.1	
			PSPC1	HIST2H3C	DENND6B	HSP90AA4P	SNORA70|ENSG00000206661.1	CYP4F29P	GOLGA8O	C12orf60	WWOX	RN7SL342P	RNA5SP284		MIR5088	RN7SL754P	WASH5P	PDE4D		RN7SL167P	RN7SL605P		KCNQ1OT1	URAHP	LINC00226		NPY6R	LINC00452	ZNF140	snoU13|ENSG00000238491.1	SIGLECP3	SNORD103B	C10orf91	SALL3	POTEA	RNA5SP358	RN7SL167P	RN7SKP101	NPCDR1	RNU6ATAC6P	RNA5SP475	HS3ST1	RN7SL636P	SNORA10	SNORA70|ENSG00000252014.1	LINC00693	
			LINC00350	FAM72C	TTLL8	CYP4V2	RN7SL872P	ANKRD30BP2	U8|ENSG00000206987.1	RN7SKP134		OACYLP	SNORA70|ENSG00000252878.1		BCL2L12	RNA5SP298	PPAP2C			LINC00167	MIR1253		RPL26P30	TUBB3	ADAM6		MIR874	LINC00453	RNU4ATAC12P	MIR4797	RNA5SP215	SNORD103A	BNIP3	RNA5SP461	FNTA	ALG10	LINC00167	SNORD11|ENSG00000238819.1	RPP14	EPHA3	RN7SL864P	CLNK	LINC00651	RPL3L	RN7SL205P	CMC1	
			LINC00421	FCGR1C	ALG12	SNORA31|ENSG00000253013.1	RNA5SP251	BAGE2	ULK4P1	PLBD1		U8|ENSG00000199713.1	RN7SL787P		SNORD35B	RNA5SP297	THEG			KCNJ5	RN7SL608P		C11orf21	SNORD68	KIAA0125		RNA5SP193	LINC00454	RNA5SP379	U4|ENSG00000272359.1	MIR548B	SDC3	PPP2R2D	SNORA25|ENSG00000199392.1	SGK196	SYT10	KCNJ5	SNORA41|ENSG00000207516.1	RNU6ATAC26P	POU1F1	RN7SKP111	RNA5SP155	snoU13|ENSG00000239157.1	RN7SL367P	RNY5P4	RN7SL859P	
			TUBA3C	RNA5SP59	RN7SKP252	TLR3	MYOM2	SNORA70|ENSG00000252199.1	RN7SL185P	RPL30P11		RN7SL112P	RNA5SP283		SNORD35A	TUBB8	MIER2			RN7SKP279	snoU13|ENSG00000239024.1		MIR483	SLC22A31	IGHJ1		FBXL21	GRK1	LRCOL1	RN7SL738P	RN7SKP51	RN7SKP91	LINC00959	GALR1	HGSNAT	SNORD112|ENSG00000251863.1	RN7SKP279	HMGN2P46	PDE12	PROS1	LINC00687	MIR3138	RN7SL197P	MIR3177	snoU13|ENSG00000238802.1	SNORD5|ENSG00000272166.1	
			RNA5SP24	NBPF15	ACR	snoU13|ENSG00000239034.1	CSMD1	RN7SL52P	GOLGA8K	RN7SL676P		SNORD28|ENSG00000252284.1	RN7SL544P		SNORD34	IDI1	C2CD4C			RN7SKP121	RN7SL33P		H19	MIR4722	IGHJ2		TIFAB	DCUN1D2	MUC8	RN7SL434P	RN7SKP18	MIR4420	MIR4297	LINC00683		CPNE8	RN7SKP121	snoU13|ENSG00000238583.1	snoU13|ENSG00000238905.1	CGGBP1	C20orf187	RNA5SP154	KCNB1	CCDC154	HSPA4L	RNA5SP126	
			LINC00442	RNA5SP58	CHKB	PDLIM3		TEKT4P2	CHRNA7	RN7SL46P		FECH	SNORA70|ENSG00000252133.1		SNORD33|ENSG00000199631.1	ZMYND11				APLP2	SNORD91A		C11orf89	MIR5189	IGHJ3		MIR4461	LINC00403	SNORA49	UBXN7	RNA5SP214	SCARNA24|ENSG00000252777.1	MGMT	ZNF516			MIR3167	SLC30A4	HESX1	CHMP2B	JAG1	RNA5SP153	SNORD12	PRSS29P	INTU	RNA5SP125	
			PHF2P2	NBPF24	CPT1B	UFSP2		MIR3648	SNORA18|ENSG00000206849.1	RN7SKP162		U3|ENSG00000212539.1	FAM27E1		SNORD32A	WDR37				ETS1	SNORD91B		FAM99B	ZFPM1	IGHJ4		MIR4461	LINC00404	RNA5SP378	SDHAP1	FAM26E	RNU11	NPS	SMIM21			snoU13|ENSG00000238855.1	SNORA11|ENSG00000261709.2	RNA5SP133	ZNF654	RNU105B	USP17L23	SNORD12B	C1QTNF8	IL2	RN7SL216P	
			LINC00387	RN7SL261P	TYMP	SNORD79		HSPA13	MIR211	GRIN2B		TXNL1	RN7SL722P		MIR4324	DIP2C				FLI1	RN7SL624P		MOB2	ZNF469	IGHJ5		PCBD2	SNORD44	RNA5SP377	RN7SL773P	TSPYL1	RAB42	SNORD60|ENSG00000199321.1	ZADH2			RN7SL351P	SORD	RN7SKP45	C3orf38	TMX4	USP17L15	SNORD12C	MSLNL	RN7SL335P	LINC00691	
			LINC00388	ACP6	MAPK11	RN7SL28P		TPTE	RN7SL82P	RNA5SP353		SNORA73|ENSG00000201816.1	SNORA70|ENSG00000252617.1		RN7SL708P	LARP4B				KCNJ1	TLCD2		MUC5AC	FLJ00104	IGHJ6		RN7SL541P	LINC00354	RNA5SP376	LINC00969	NT5DC1	SNORD99	RNA5SP328	RN7SL551P			KRT18P59	B2M	MIR3938	VGLL3	RN7SL547P	FAM90A26	ZFAS1	METRN	QRFPR	UBE2E2	
			LINC00349	LINC00624	MAPK12	snoU13|ENSG00000239116.1		RBM11	U8|ENSG00000252602.1	HTR7P1		RNA5SP459	FAM27E2		RN7SL345P	GTPBP4				NFRKB	snoU13|ENSG00000238946.1		SNORA52	FBXO31	IGHM		PPP2CA	ATP4B	RAN	RNU6ATAC24P	FRK	SNHG12	ADAM8	RN7SL401P			SLC37A2	RN7SL347P	ESRG	STX19	snoR26	GPR78	LINC00494	MIR3176	RN7SKP137	HMGB1P5	
			ZMYM2	HYDIN2	SBF1	snoU13|ENSG00000238596.1		SAMSN1	RN7SL628P	SNORD88		SNORA37	RN7SL565P		SEC1P	IDI2				OPCML	RN7SL105P		RPLP2	AFG3L1P	IGHD		SKP1	F7	snoU13|ENSG00000238822.1	RN7SL36P	RNA5SP213	snoU13|ENSG00000238821.1	CYP2E1	MIR548AV			RNA5SP352	HYPK	CHDH	MIR4795	RN7SL498P	RNA5SP152	SNORD36|ENSG00000252227.1	MIR5587	MAD2L1	RNY4P22	
			ZMYM5	RNA5SP57	CELSR1	snoU13|ENSG00000238319.1		LIPI	GOLGA8H	GPRC5A		DCC	RN7SL343P		DBP	LINC00200				ST14	BHLHA9		TMEM80	APRT	IGHG3		snoU13|ENSG00000238796.1	F10	RN7SL534P	MIR3137	snoU13|ENSG00000238563.1	SNORA73B	DOCK1	RNA5SP460			TBRG1	CATSPER2P1	SNORD63|ENSG00000251987.1		LINC00654	MIR95	RNA5SP486	ITFG3	SNORA11|ENSG00000221245.1	MIR3135A	
			MPHOSPH8	PDZK1P1	PPP6R2	U3|ENSG00000252048.1		ABCC13	U8|ENSG00000207430.1	MIR613		snoU13|ENSG00000238885.1	FAM95B1		GRWD1	PRR26				BARX2	MIR3183		SCT	C16orf3	IGHG1		HSPA4	GAS6	snoU13|ENSG00000238895.1	LINC00884	U3|ENSG00000253091.1	RNU6ATAC27P	ECHS1	RN7SL795P			OR10D3	snoU13|ENSG00000238494.1	SNORA26|ENSG00000212608.1		LINC00658	MIR4274	RN7SL243P	HBZ	C4orf3	U7|ENSG00000271841.1	
			TPTE2	RNF115	ZBED4	FAM92A1P2		POTED	ULK4P2	DUSP16		RN7SL695P	SNORA70|ENSG00000252724.1		C19orf68					ARHGAP32	TIMM22		MIR210HG	CA5A	IGHA1		LEAP2	LAMP1	MIR3612	LINC00887	snoU13|ENSG00000239095.1	RN7SL559P	INPP5A	CYB5A			U8|ENSG00000200496.1	snoU13|ENSG00000238535.1	SNORD38|ENSG00000207109.1		SNORA26|ENSG00000212517.1	MIR4798	MIR3616	SNRNP25	CEP170P1	LINC00690	
				NUDT17	SCO2	RN7SKP67		MIR3687	RN7SL796P	LOH12CR2		ME2	RN7SL763P		CABP5					ADAMTS8	DBIL5P		RN7SL838P	CBFA2T3	IGHG2		UQCRQ	SOX1	TMEM132C	RN7SL215P	snoU13|ENSG00000239015.1	SCARNA1	MKI67	MBP			SNORD14C	RN7SL487P	RN7SL821P		RNA5SP474	RN7SKP36	RN7SKP33	POLR3K	SNHG8	DPH3	
				GNRHR2	RABL2B	RN7SKP13			GOLGA8Q	TAS2R30		RNA5SP458	FAM74A6		TPRX2P					IGSF9B	DOC2B		ODF3	CDH15	IGHG4		RNA5SP192	TFDP1	LINC00508	RN7SL447P	C6orf3	GPN2	PTPRE	NFATC1			SNORD14D	CCNDBP1	snoU13|ENSG00000238565.1		RN7SL514P	GRPEL1	SNX21	WASIR2	NT5C3AP1	RN7SL4P	
				NBPF10	GRAMD4	LINC00290			RN7SL196P	TAS2R64P		RN7SL310P	FAM74A2		SNORD23|ENSG00000221803.1					NCAPD3	ABR		AP2A2	CYBA	IGHE		snoZ6|ENSG00000253067.1	CUL4A	LINC00507	snoU13|ENSG00000238902.1	KIAA1919	ZDHHC18	ADAM12	ZNF236			SNORD14E	snoU13|ENSG00000239025.1	MUSTN1		snoU13|ENSG00000252058.1	RN7SKP292	RNU6ATAC38P	WASH4P	MTRNR2L13	MIR3134	
				SEC22B	MLC1	SNORD65|ENSG00000212191.1			GOLGA8R	TAS2R20		RNA5SP457	RN7SL422P		RN7SL322P					ACAD8	CRK		ASCL2	DPEP1	IGHA2		HINT1	PROZ	LINC00944	RN7SKP222	RPF2	RN7SL165P	UTF1	CTDP1			snoU13|ENSG00000239079.1	MIR627	SNORD69		SNORA31|ENSG00000252096.1	S100P	SPINT4	DDX11L10	RN7SL808P	RN7SL110P	
				RN7SKP88	MAPK8IP2	RNA5SP173			U8|ENSG00000238519.1	TAS2R14		GRP	FAM74A1		RN7SL533P					B3GAT1	DPH1		CARS	FANCA	CRIP1		RNA5SP191	CDC16	LINC00943	RN7SKP296	snoU13|ENSG00000238775.1	RN7SL501P	GLRX3	SOCS6			RNU4ATAC5P	MIR4310	SNORD19|ENSG00000222345.1		MIR103A2	C4orf50	WFDC10A	ARHGDIG	MIR577	MIR4270	
				LINC00623	PLXNB2	snoU13|ENSG00000252388.1			RN7SL469P	PRH2		LMAN1	RN7SL462P		snoU13|ENSG00000252071.1					ZBTB44	HIC1		CD81	GALNS	C14orf79		RNU6ATAC10P	TUBGCP3	LINC00939	RN7SL486P	SNORA40|ENSG00000212587.1	snoU13|ENSG00000238316.1	DPYSL4	TSHZ1			RNU4ATAC10P	RNA5SP393	SNORD19B|ENSG00000238862.1		MAVS	RN7SKP275	RNA5SP485	CLCN7	RN7SL184P	snoU13|ENSG00000238891.1	
				NBPF8	BRD1	RNA5SP172			GOLGA8T	TAS2R8		SMAD4	FAM74A5		MIR320E					THYN1	MNT		CD151	GAS8	LINC00638		KIAA1024L	RASA3	TMEM132B	MIR944	RN7SL617P	RN7SL679P	VENTX	CD226			SC5D	MIR626	SNORD19|ENSG00000212493.1		U3|ENSG00000201346.1	RN7SKP113	RBPJL	GFER	TIFA	COL6A4P1	
				SRGAP2B	TBC1D22A	RN7SKP136			U8|ENSG00000207432.1	MAGOHB		MBD1	RN7SL640P		RN7SL364P					NTM	MYO1C		CDKN1C	MC1R	ZBTB42		MIR4633	ATP11A	BRI3BP	MIR28	snoU13|ENSG00000238474.1	MIR1976	CALY	TXNL4A			TBCEL	RN7SL497P	SNORD19B|ENSG00000252787.1		RN7SL839P	FAM86EP	RN7SL31P	HAGH	C4orf32	NR2C2	
				ANKRD20A12P	FAM19A5	AGA			ULK4P3	EIF2S3L		MC4R	FAM201A		PGLYRP1					PRDM10	OR1D2		CTSD	MVD	C14orf144		C5orf63	MCF2L	RPL22P19	snoU13|ENSG00000239093.1	CCDC162P	HMGN2	TTC40	ADNP2			OAF	RN7SL376P	RNU6ATAC16P		RN7SL555P	LINC00955	KCNK15	HBA1	ENPEP	GRIP2	
				FCGR1B	NCAPH2	SLC25A4			RN7SL673P	RN7SKP161		MYO5B	PGM5		AP2A1					TP53AIP1	OR3A1		DRD4	CHMP1A	RN7SL634P		RN7SKP117	TMCO3	DNAH10OS	RTP4	C6orf183	RN7SL490P	LRRC27	RTTN			THY1	snoU13|ENSG00000238559.1	SMIM4		TMEM239	LRPAP1	MIR3646	HBA2	RN7SL275P	RNA5SP124	
				HIST2H2BA	MOV10L1	CASP3			GOLGA8J	KLRF2		NARS	ZNF658		BAX					JAM3	OR3A2		DUSP8	RPL13	LINC00637		RN7SL711P	PCID2	EIF2B1	SNORA4|ENSG00000263776.1	ZNF259P1	AIM1L	GPR123	KCNG2			MFRP	LINC00594	MIRLET7G		SNORD57	MSANTD1	R3HDML	HBM	CCDC109B	LSM3	
				LINC00622	MIOX	DCTD			snoZ278	CLEC2B		ATP8B1	SPATA31A7		BCAT2					GLB1L2	PAFAH1B1		HRAS	SPG7	SNORD51|ENSG00000202275.1		RN7SL689P	UPF3A	SNORA9|ENSG00000206897.1	SNORA63|ENSG00000200320.1	LINC00222	SH3BGRL3	KNDC1	TIMM21			ACA64|ENSG00000252119.1	RNA5SP392	TLR9		SNORD56|ENSG00000229686.1	RN7SL589P	FITM2	HBQ1	MIR576	FGD5P1	
				snoU13|ENSG00000238679.1	TRMU	F11			GOLGA6L7P	CLEC2D		PMAIP1	CNTNAP3		C5AR1					VPS26B	SERPINF1		IGF2	SLC7A5	APOPT1		snoU13|ENSG00000239103.1	GRTP1	SNRNP35	SNORA81|ENSG00000221420.2	RNA5SP212	ZNF593	MTG1	TMX3			HINFP	LINC00984	LINC00696		SNORD86	MIR943	RN7SL443P	IGFALS	RN7SL55P	WNT7A	
				RNA5SP56	PANX2	ACSL1			WHAMMP2	KLRB1		MAPK4	ANKRD20A1		CA11					GLB1L3	PITPNA		INS	CDK10	SNORA28		snoU13|ENSG00000252295.1	ADPRHL1	RNA5SP375	SNORA63|ENSG00000200418.1	snoU13|ENSG00000238974.1	SCARNA18|ENSG00000252691.1	SYCE1	ZNF407			C2CD2L	snoU13|ENSG00000238564.1	ACY1		SNORA51|ENSG00000271798.1	SCARNA22	SCARNA15|ENSG00000252193.1	MPG	SNORD112|ENSG00000252566.1	LINC00620	
				WDR3	CERK	FAT1			RN7SL719P	SNORA75|ENSG00000212432.1		RAB27B	CBWD5		CALM3					TMEM45B	SERPINF2		IRF7	VPS9D1	LINC00605		snoU13|ENSG00000239067.1	SPACA7	RN7SL133P	SNORD2|ENSG00000238942.1	SNORA73|ENSG00000253090.1	SCARNA17|ENSG00000252190.1	PRAP1	CNDP2			MIR3656	THBS1	RN7SL504P		SNORD110	RN7SL671P	RN7SL666P	NDUFB10	GIMD1	SNORA7A	
				SNORA40|ENSG00000212266.1	CRELD2	FRG1			GOLGA8M	SNORA75|ENSG00000212440.1		TCF4	FOXD4L3		CD37					ADAMTS15	RPA1		KCNQ1	PIEZO1	LINC00677		snoU13|ENSG00000239084.1	CHAMP1	MIR4304	KNG1	SCML4	MAN1C1	ZNF511	CCDC102B			RPS25	FAM98B	IQCF6		MIR1292	SNORA48|ENSG00000212458.1	RN7SKP100	NME3	RN7SL89P	snoU13|ENSG00000239140.1	
				MAN1A2	ADM2	ING2			RN7SL829P	LINC00987		TNFRSF11A	FOXD4L4		CGB					C11orf45	YWHAE		LSP1|ENSG00000130592.9	TUBB3	snoU13|ENSG00000238853.1		RNA5SP190	TMEM255B	HCAR1	CRYGS	RTN4IP1	snoU13|ENSG00000238889.1	C10orf90	PQLC1			RN7SL529P	U3|ENSG00000212511.1	RNA5SP132		SNORD119	TMED11P	SNORA26|ENSG00000212224.1	NME4	SNORA31|ENSG00000252136.1	C3orf83	
				MIR942	TRABD	IRF2			RN7SL238P	A2MP1		MBD2	SPATA31A6		AP2S1					SPATA19	OR1A1		MUC2	PRDM7	RN7SL546P		RN7SL174P	C13orf35	SNORA9|ENSG00000252192.1	RN7SL637P	RNA5SP211	SYF2	CLRN3	NETO1			RN7SL688P	CSNK1A1P1	RNU6ATAC29P		RN7SL561P	RN7SL358P	RN7SL615P	RPS2	TACR3	RNA5SP123	
				TTF2	HDAC10	KLKB1			GOLGA8F	LINC00612		ONECUT2	FAM74A4		CRX					C11orf44	OR1D5		MUC6	TCF25	snoU13|ENSG00000239061.1		TNFAIP8	MIR4502	ZCCHC8	TRA2B	RN7SL47P	snoU13|ENSG00000238986.1	PWWP2B	PARD6G			BCL9L	MIR3942	VPRBP		TCF15	ZNF721	RNA5SP484	CAPN15	BDH2	SYN2	
