Arm	# Genes	Amp frequency	Amp z-score	Amp q-value	Del Frequency	Del z-score	Del q-value
1p	1300	0.22	-3.2	1	0.41	5.09	5.33e-07
1q	1195	0.41	4.54	1.28e-05	0.29	-0.822	1
2p	624	0.45	3.65	0.000545	0.12	-8.73	1
2q	967	0.30	-1.35	1	0.14	-7.94	1
3p	644	0.26	-2.43	1	0.82	20.4	0
3q	733	0.68	12.3	0	0.58	7.45	1.8e-13
4p	289	0.15	-7.16	1	0.67	11.7	0
4q	670	0.09	-8.05	1	0.62	11.5	0
5p	183	0.65	8.28	2.28e-15	0.61	6.63	5.18e-11
5q	905	0.20	-3.61	1	0.76	19.2	0
6p	710	0.27	-3.77	1	0.30	-2.63	1
6q	556	0.22	-6.34	1	0.29	-3.66	1
7p	389	0.53	5.38	2.14e-07	0.26	-4.54	1
7q	783	0.47	5.24	4.18e-07	0.21	-5.11	1
8p	338	0.36	-1.27	1	0.70	12.6	0
8q	551	0.54	6.86	3.54e-11	0.30	-2.63	1
9p	301	0.30	-2.94	1	0.72	13.6	0
9q	700	0.33	-1.03	1	0.61	10.6	0
10p	253	0.25	-5.64	1	0.52	4.48	1e-05
10q	738	0.14	-7.45	1	0.51	6.7	3.45e-11
11p	509	0.21	-6.51	1	0.41	0.923	0.332
11q	975	0.24	-3.78	1	0.35	0.959	0.33
12p	339	0.48	3.21	0.00251	0.17	-7.98	1
12q	904	0.33	-0.696	1	0.15	-7.72	1
13q	560	0.20	-5.05	1	0.67	13.1	0
14q	938	0.38	1.56	0.188	0.45	4.44	1.14e-05
15q	810	0.29	-2.3	1	0.36	0.412	0.581
16p	559	0.24	-5.27	1	0.40	0.997	0.327
16q	455	0.25	-4.91	1	0.45	2.6	0.0102
17p	415	0.25	-4.02	1	0.68	12.4	0
17q	972	0.36	1.05	0.433	0.30	-1.15	1
18p	104	0.38	-2	1	0.43	0.0571	0.783
18q	275	0.31	-3.57	1	0.49	3.09	0.00226
19p	681	0.31	-2.09	1	0.44	3.25	0.00138
19q	935	0.39	2.31	0.0355	0.35	0.67	0.448
20p	234	0.56	6.21	1.82e-09	0.22	-6.32	1
20q	448	0.55	6.72	7.64e-11	0.22	-5.62	1
21q	258	0.24	-5.48	1	0.60	7.82	1.09e-14
22q	564	0.55	7.01	1.59e-11	0.36	-0.79	1
Xp	418	0.15	-9.41	1	0.35	-1.85	1
Xq	668	0.17	-7.73	1	0.29	-3.19	1
