cytoband	11q22.1	3q26.31	17q12	20q11.21	8q24.21	19q13.13	9p24.1	5p15.33	13q22.1	17q25.1	1q21.3	Xq28	16p13.13	11q13.3	6p21.33	15q26.1	7p11.2	2q33.1	13q34	1p31.3	11p12	21q22.13	2p24.3	19p13.2	4q12	19p13.3	
q value	1.4304e-43	2.3522e-34	3.0939e-13	4.2399e-10	1.9871e-09	3.164e-08	1.6137e-06	2.0057e-06	4.3435e-09	2.0209e-05	3.2002e-05	3.2002e-05	4.4494e-05	1.2477e-08	0.0016048	0.0058042	0.0063566	0.012962	0.00028304	0.024873	0.027511	0.051535	0.099937	0.10492	0.1456	0.12143	
residual q value	2.2762e-35	2.3522e-34	2.9703e-12	4.2399e-10	1.9871e-09	3.164e-08	1.6137e-06	2.0057e-06	2.3658e-05	2.3867e-05	3.2002e-05	3.2002e-05	4.4494e-05	7.246e-05	0.0016048	0.0058042	0.0063566	0.012962	0.022938	0.024873	0.02884	0.051535	0.099937	0.13727	0.1456	0.19148	
wide peak boundaries	chr11:101626852-102266642	chr3:168214892-172485872	chr17:37854508-37869191	chr20:30204825-30356590	chr8:128754838-128772049	chr19:38356753-38956802	chr9:5302096-5565600	chr5:1-1322086	chr13:73929290-73956005	chr17:72966455-74083947	chr1:149939138-155333392	chrX:152924807-155270560	chr16:11883519-11927917	chr11:69512115-70378914	chr6:30477277-30635592	chr15:74314461-102531392	chr7:54944574-55503308	chr2:173598160-202097179	chr13:87062890-115169878	chr1:61416174-62488521	chr11:34553850-37667461	chr21:37471879-39171788	chr2:1-47640565	chr19:12898181-13077559	chr4:55983268-56580180	chr19:3333022-3533405	
genes in wide peak	snoU13|ENSG00000239154.1	RN7SL141P	ERBB2	BCL2L1	[MYC]	SPRED3	RLN1	MIR4635	[LINC00393]	MYO15B	MIR555	WASH6P|ENSG00000182484.10	BCAR4	MIR548K	MIR877	DDX11L9	EGFR	RN7SL694P	MIR548AR	NFIA	TRAF6	KCNJ6	MIR559	SYCE2	RN7SKP30	SNORD38|ENSG00000252408.1	
	snoU13|ENSG00000252679.1	PP13439		TPX2		snoU13|ENSG00000238838.1	RLN2	ZDHHC11B		RN7SL573P	GBAP1	WASIR1|ENSG00000185203.7	ZC3H7A	FGF3	PRR3	WASH3P	LANCL2	ORC2	LINC00565	INADL	COMMD9	RN7SL678P	RN7SKP119	CALR	RN7SL822P	FZR1	
	BIRC2	snoU13|ENSG00000238359.1		COX4I2		RN7SL663P	CD274	CCDC127		ACOX1	EFNA3	F8A3		CTTN	ABCF1	FAM138E		RNA5SP115	LINC00452	TM2D1	MIR3973	RNA5SP491	BCYRN1	DNASE2	KDR	RN7SL866P	
	BIRC3	MIR569				PSMD8	PLGRKT	LRRC14B		CDK3	MIR4258	F8A2		FGF4	GNL1	OR4F13P		AOX2P	LINC00453		TRIM44	CHAF1B	RHOQ	FARSA	CLOCK	NFIC	
	TRPC6	RNY5P3				RYR1	PDCD1LG2	PLEKHG4B		EVPL	SNORD59|ENSG00000252682.1	FUNDC2		PPFIA1	PPP1R10	RN7SL209P		RN7SL717P	LINC00454		MIR1343	snoU13|ENSG00000238851.1	RN7SL817P	GCDH	NMU	DOHH	
	YAP1	CLDN11				DPF1		SDHA		GALK1	SNORA58|ENSG00000201129.1	SNORA56		FADD	DHX16	DNM1P47		PLCL1	GRK1		EHF	RN7SL73P	RN7SL414P	JUNB	TMEM165	C19orf77	
	KIAA1377	TERC				KCNK6		SLC9A3		GRB2	C1orf189	SNORA36A		FGF19	MRPS18B	snoU13|ENSG00000238502.1		RFTN2	DCUN1D2		CD44	CBR3	SLC3A1	RAD23A	SRD5A3		
	C11orf70	EGFEM1P				SPINT2		TERT		H3F3B	RN7SL431P	RN7SL742P		SHANK2	ATAT1	LINS		MOB4	LINC00403		RAG1	DYRK1A	snoU13|ENSG00000239052.1	PRDX2	PDCL2		
	ANGPTL5	ECT2				SIPA1L3		TRIP13		ICT1	MIR5698	RN7SL697P		ANO1	C6orf136	RNA5SP402		SNORA4|ENSG00000202434.1	LINC00404		RAG2	HLCS	RN7SKP66	RNASEH2A			
		MECOM				CATSPERG		PDCD6		ITGB4	U3|ENSG00000252669.1	LAGE3				RN7SL484P		C2orf66	SNORD44		SLC1A2	SIM2	SNORD75|ENSG00000221300.1	KLF1			
		GHSR				C19orf33		SLC12A7		LLGL2	snoU13|ENSG00000238511.1	SNORA70|ENSG00000207165.1				DKFZP779J2370		SCARNA16|ENSG00000252923.1	LINC00354		PDHX	TTC3	snoZ247	MAST1			
		PLD1				WDR87		TPPP		SUMO2	RN7SL372P	TEX28P1				MIR4714		RN7SL820P	LINC00346		FJX1	DOPEY2	HNRNPA1P57	HOOK2			
		PRKCI				YIF1B		EXOC3		SRP68	RN7SL44P	OPN1MW				RNA5SP401		snoU13|ENSG00000239161.1	LINC00567		PAMR1	DSCR3	SNORA67|ENSG00000252473.1	RTBDN			
		SKIL				PPP1R14A		CEP72		GALR2	S100A7L2	TEX28P2				RN7SL677P		SNORD59|ENSG00000252517.1	snoU13|ENSG00000238629.1		APIP	MORC3	RN7SL96P	GADD45GIP1			
		SLC2A2				RASGRP4		AHRR		SLC16A5	SPRR2B	NAA10				RN7SKP181		PCGEM1	RN7SL783P		PRR5L	CLDN14	GEMIN6	DAND5			
		SEC62				FAM98C		BRD9		RECQL5	SNORA31|ENSG00000252920.1	LCA10				RN7SKP254		NABP1	RN7SKP10		C11orf74	PIGP	LINC00211	MIR5695			
		TNFSF10				GGN		ZDHHC11		KIAA0195	LINC00302	SNORD36|ENSG00000251846.1				MIR1469		RN7SKP179	LINC00676		LDLRAD3	RIPPLY3	RN7SL602P				
		TNIK						CLPTM1L		ATP5H	NBPF18P	RN7SL687P				LINC00924		TMEM194B	RNA5SP39		LINC00610	DSCR9	RNA5SP92				
		GPR160						NKD2		GGA3	THEM4	ABCD1				MIR3175		MIR3129	MIR1267				RNA5SP91				
		MYNN						C5orf55		EXOC7	LINGO4	ARHGAP4				RN7SL599P		MIR1245A	SNORD31				SNORD112|ENSG00000252502.1				
		EIF5A2						SLC6A19		KCTD2	CELF3	ATP6AP1				LINC00930		DIRC1	LINC00443				LINC00486				
		NCEH1						SLC6A18		WBP2	MIR554	AVPR2				snoU109|ENSG00000239197.1		GULP1	LINC00551				MIR4765				
		SLC7A14						MIR4457		SAP30BP	SNORA44	CLIC2				snoU13|ENSG00000238981.1		RNA5SP114	ARGLU1				MIR558				
		FNDC3B						MIR4456		NT5C	RNY4P25	CTAG1B				RN7SL363P		RN7SKP42	LINC00460				YIPF4				
		LRRC31								CDR2L	RN7SL444P	TEX28				SNORD18|ENSG00000200677.1		U8|ENSG00000212581.1	RNA5SP38				DPY30				
		PHC3								MRPS7	MLLT11	DKC1				ZNF774		snoU13|ENSG00000238306.1	SNORA25|ENSG00000252550.1				SRD5A2				
		ACTRT3								HN1	SNORA40|ENSG00000253047.1	DNASE1L1				GABARAPL3		SNORA77|ENSG00000221498.1	LINC00344				EHD3				
		LRRC34								MIF4GD	RN7SL600P	EMD				RN7SL736P		DNAJC10	LINC00343				RNA5SP90				
		RPL22L1								CASKIN2	RN7SL473P	F8				CIB1		RN7SL267P	METTL21EP				SNORA64|ENSG00000207187.1				
		LRRIQ4								SLC25A19	C1orf138	FLNA				RN7SL346P		RNA5SP113	RNY5P8				RN7SL516P				
		SAMD7								MRPL38	LINC00568	G6PD				RN7SL755P		RNU6ATAC19P	LINC00283				SNORD53				
		TMEM212								ARMC7	snoU13|ENSG00000238526.1	GDI1				C15orf38		SNORA43|ENSG00000202216.1	CCDC168				SNORD92				
		MIR551B								NUP85	RN7SL480P	HCFC1				MIR5009		snoU13|ENSG00000238339.1	snoU13|ENSG00000238869.1				RNA5SP89				
										FBF1	OTUD7B	IDH3G				MIR5094		ACA59|ENSG00000252000.1	LINC00555				FOSL2				
										UNK	ADAR	IL9R|ENSG00000124334.12				MESP1		PLEKHA3	MIR4705				MIR4263				
										TRIM47	ARNT	IRAK1				LINC00928		TTC30A	RNY1P2				RBKS				
