cytoband	9p21.3	8p23.2	4q35.2	2q22.1	18q23	11q23.1	7q36.1	19p13.3	1p13.2	13q12.11	5q12.1	9p23	10p11.21	2q36.2	2q21.2	Xq21.33	10q23.31	Xp21.3	13q14.2	3p12.1	17q25.3	4q22.1	1p36.21	16q23.3	21q22.3	11p15.5	7q31.1	5q35.3	6p25.3	9q34.3	14q11.2	16q23.1	9q21.11	14q32.32	3p14.2	1q44	4p15.2	4q21.3	Xp22.2	10p15.3	15q15.1	17p11.2	5q15	19q13.43	12q24.33	3p26.2	3p24.1	4p16.3	
q value	4.3284e-264	9.3296e-101	9.0308e-36	1.6309e-42	7.936e-27	1.8879e-21	1.1399e-22	2.1729e-18	7.836e-19	1.5057e-23	1.6521e-18	6.6348e-40	5.4299e-15	1.278e-25	7.8713e-31	1.8532e-11	4.1901e-11	1.78e-10	1.2142e-15	1.2348e-10	2.2724e-06	4.6829e-09	7.0766e-07	1.1267e-07	0.00039918	0.00051729	2.0206e-09	0.00012946	0.0011062	0.0015249	0.0025503	6.2809e-06	3.4118e-08	0.0057325	1.1594e-06	0.038263	0.00087216	1.0151e-05	0.037666	0.033155	0.11567	0.15692	1.5585e-09	0.20195	0.22646	0.036149	0.0010943	0.00046209	
residual q value	4.4366e-241	9.3296e-101	4.997e-33	3.4225e-28	7.936e-27	1.9141e-21	2.4015e-19	2.2197e-18	2.7873e-17	4.4508e-16	1.8369e-15	2.3249e-14	2.9898e-14	9.0651e-14	1.28e-12	1.7991e-11	4.1746e-11	3.9836e-10	6.4398e-08	7.0832e-08	2.3444e-06	6.4563e-06	2.2729e-05	0.00021946	0.00038872	0.00051729	0.00064341	0.0010089	0.0011135	0.0015353	0.0047524	0.0067244	0.015366	0.016807	0.034769	0.038179	0.038179	0.050032	0.073829	0.099238	0.11253	0.18099	0.20573	0.20573	0.22354	0.2377	0.35823	0.49047	
wide peak boundaries	chr9:21931610-22003135	chr8:3548028-4251283	chr4:187475875-191154276	chr2:140708948-143637838	chr18:73139336-78077248	chr11:108811192-117301939	chr7:148117946-153767963	chr19:1060134-1272039	chr1:112530734-149881397	chr13:1-23727991	chr5:58151172-59818245	chr9:8885227-12687261	chr10:34059131-35328087	chr2:215261791-243199373	chr2:133423352-134161285	chrX:96134519-96599519	chr10:89617158-90034038	chrX:28998445-29639108	chr13:44358188-50072939	chr3:79556979-85012839	chr17:80698053-80902410	chr4:91271445-93240505	chr1:1-27864255	chr16:82485689-83844787	chr21:41298805-43485528	chr11:1-6499201	chr7:108535383-111366370	chr5:176521457-176731866	chr6:1-12718155	chr9:139376600-139456211	chr14:1-28735041	chr16:78098006-79299841	chr9:38619152-71152237	chr14:81998189-107349540	chr3:61234833-62306281	chr1:245290228-247047608	chr4:20726855-22697785	chr4:86921750-87523393	chrX:9751329-10420184	chr10:1-5197880	chr15:1-50477234	chr17:20330075-25626166	chr5:92929447-93956985	chr19:57100222-59128983	chr12:71314430-133851895	chr3:3220635-4535479	chr3:28799677-30767809	chr4:1-20255305	
genes in wide peak	CDKN2A	RN7SL872P	RNA5SP175	RN7SL283P	RBFA	SCARNA11|ENSG00000252992.1	RN7SL845P	POLR2E	HIST2H3A	RNY3P4	FKSG52	RN7SL5P	PARD3	CXXC11	RN7SKP154	RN7SL74P	SNORD74|ENSG00000200891.1	MIR4666B	RNY3P2	LINC00971	TBCD	RN7SKP248	GPN2	MIR3182	SNORA3|ENSG00000251778.1	RNA5SP329	snoU13|ENSG00000238922.1	RAB24	RN7SKP293	MIR4673	LINC00645	RNA5SP431	CBWD3	RNA5SP389	PTPRG	SNORA25|ENSG00000252011.1	snoU13|ENSG00000238383.1	RN7SKP96	SHROOM2	U8|ENSG00000239142.1	RNA5SP394	MTND1P15	FAM172A	RN7SL525P	ANHX	SETMAR	U3|ENSG00000199927.1	RNA5SP157	
	C9orf53	RNA5SP251	RNA5SP174	LRP1B	RBFADN	PCSK7	RN7SL811P	ATP5D	HIST2H2AA3	LINC00621	MIR582	SNORD27|ENSG00000251699.1		RNA5SP122		RPA4	PTEN	RNA5SP500	LINC00462	GBE1	ZNF750		ZDHHC18	RN7SL134P	LINC00112	TRIM34	FLJ00325	NSD1	SNORA67|ENSG00000207419.1	NOTCH1	SNORD37|ENSG00000212270.1	PIH1	PGM5P2	LINC00221		SNORD112|ENSG00000252495.1	KCNIP4	MAPK10	CLCN4	U8|ENSG00000251740.1	FGF7	UBBP4	POU5F2	RN7SL693P	ZNF891	LRRN1	TGFBR2	FAM184B	
			HSP90AA4P		SALL3	RNY4P6	SNORA26|ENSG00000212590.1	GPX4	HIST2H3C	SNORD36|ENSG00000253094.1	PDE4D			MIR3133			KLLN		LINC00441	MIR3923			RN7SL165P	snoU13|ENSG00000238321.1	LINC00111	OR51J1	LRRN3		snoU13|ENSG00000238896.1	C9orf163	TM9SF1	WWOX	RNA5SP284	LINC00226		SCCPDH	GPR125	MIR4452	WWC3	U8|ENSG00000239148.1	RN7SL307P	RN7SL426P	KIAA0825	RNA5SP473	ZNF140	SUMF1	RBMS3	MED28	
			FAT1		RNA5SP461	ZNF259	snoU13|ENSG00000238557.1	STK11	FAM72C	LINC00424				RNPEPL1					LINC00562				RN7SL501P	CDH13	snoU13|ENSG00000252771.1	OR51B5	IMMP2L		RNA5SP203	MIR4674	RNA5SP383		SNORA70|ENSG00000252878.1	ADAM6		KIF26B				U8|ENSG00000238840.1	RN7SL577P	TMEM11	MIR2277	RN7SL526P	RNU4ATAC12P			RN7SL315P	
			FRG1		SNORA25|ENSG00000199392.1	snoU13|ENSG00000238625.1	RNA5SP250	SBNO2	FCGR1C	RN7SL766P				MIR149					LINC00444				snoU13|ENSG00000238316.1		SNORA32|ENSG00000207503.1	HBG1			C6orf52		DHRS4L1		RN7SL787P	KIAA0125		TFB2M				AKR1C1	RN7SKP139	KRT16P3		ZNF417	RNA5SP379			snoU13|ENSG00000238536.1	
			DUX4		GALR1	LINC00900	FABP5P3	HMHA1	RNA5SP59	snoU13|ENSG00000238878.1				MIR2467					RN7SL700P				RN7SL679P		FAM3B	HBBP1			GCNT6		LINC00596		RNA5SP283	IGHJ1		SMYD3				LINC00705	FKSG62	NOS2P3		ZNF814	LRCOL1			SNORA75|ENSG00000206780.1	
			ZFP42		LINC00683	snoU13|ENSG00000239153.1	snoU13|ENSG00000239045.1	MIDN	NBPF15	ZDHHC20				MIR4441					LINC00563				MIR1976		LINC00323	OR52A4			LINC00518		RN7SKP205		RN7SL544P	IGHJ2		CNST				LINC00704	RN7SKP101	KCNJ12		ZNF134	MUC8			ZEB2P1	
			TRIML2		ZNF516	ACA59|ENSG00000252870.1	RN7SL76P	C19orf26	RNA5SP58	RNA5SP25				MIR4440					RN7SKP5				HMGN2		SNORA51|ENSG00000207147.1	OR51H1P			RNU6ATAC21P		MIR208B		SNORA70|ENSG00000252133.1	IGHJ3						LINC00703	SNORD11|ENSG00000238819.1	MAP2K3		ZNF548	SNORA49			CD38	
			TRIML1		MBP	snoU13|ENSG00000238724.1	MIR3907		NBPF24	MIPEPP3				FAM132B					snoU13|ENSG00000238483.1				RN7SL490P		MIR4760	SNORA62|ENSG00000201980.1			OFCC1		MIR208A		FAM27E1	IGHJ4						LINC00702	SNORA41|ENSG00000207516.1	USP22		ZNF805	RNA5SP378			FAM200B	
			DUX4L4		NFATC1	ATF4P4	MIR671		RN7SL261P	ESRRAP2				SNORD39|ENSG00000263723.1					RN7SL288P				AIM1L		DSCAM	OR51C1P			HULC		PABPN1		RN7SL722P	IGHJ5						LINC00701	HMGN2P46	DHRS7B		ZNF264	RNA5SP377			RN7SKP170	
			FRG2		ZNF236	snosnR66	IQCA1P1		ACP6	RN7SL80P				RBM44					RNA5SP27				SH3BGRL3		MX1	SNORA7|ENSG00000206976.1			snoU13|ENSG00000251762.1		C14orf164		SNORA70|ENSG00000252617.1	IGHJ6						LINC00700	snoU13|ENSG00000238583.1	CDRT15L2		DUXA	RNA5SP376			SNORA63|ENSG00000202449.1	
			DUX4L7		CTDP1	C11orf34	CDK5		LINC00624	SNORD27|ENSG00000252128.1				COPS8					SNORA31|ENSG00000199477.1				ZNF593		MX2	snoU13|ENSG00000238686.1			RN7SL554P		SNORA73|ENSG00000252114.1		FAM27E2	IGHM						ADARB2	SLC30A4	C17orf103		U3|ENSG00000252683.1	RAN			LINC00504	
