cytoband	11q13.3	3p13	5p15.33	1p12	6p24.3	22q13.2	17q25.3	1q44	7q34	12q14.1	15q26.2	8q24.21	7p22.1	12q15	4q12	6q12	1q21.3	20q13.33	13q31.3	5q35.3	
q value	1.9773e-15	2.2668e-13	2.9004e-13	7.9957e-12	6.548e-09	1.0172e-08	7.0388e-08	9.5039e-09	1.6371e-07	5.5617e-09	9.6912e-06	2.8957e-05	0.00015162	9.9717e-11	0.0023937	0.0066244	9.6912e-06	0.058021	0.071507	0.23703	
residual q value	1.9773e-15	2.2668e-13	2.9004e-13	6.5523e-11	6.548e-09	1.0172e-08	7.0388e-08	1.5297e-07	1.6371e-07	9.594e-07	9.6912e-06	2.8957e-05	0.00015162	0.00040434	0.0023937	0.0066244	0.015654	0.058021	0.071507	0.23703	
wide peak boundaries	chr11:69399650-69464717	chr3:69742923-70094803	chr5:1288616-1300024	chr1:120229720-120523901	chr6:1977444-14532705	chr22:41468899-41849552	chr17:67159433-81195210	chr1:245126660-247471120	chr7:136467935-142508606	chr12:58135797-58215836	chr15:82580737-102531392	chr8:115168887-146364022	chr7:1-8532843	chr12:69127775-69670720	chr4:55473468-55777729	chr6:63915276-66019907	chr1:120523956-176036350	chr20:54375868-63025520	chr13:90214960-91307433	chr5:175337387-180915260	
genes in wide peak	CCND1	RN7SL418P	TERT	HMGCS2	NOL7	EP300	MIR4525	RNA5SP82	TRBC2	CDK4	DDX11L9	ZNF252P	RPA3	SLC35E3	KIT	FKBP1C	SCARNA3	NPBWR2	RNA5SP34	TRIM52	
		MITF		NOTCH2	RN7SKP204	RANGAP1	RAB40B	MIR3916	PRSS3P2	CYP27B1	WASH3P	RN7SL395P	PMS2CL	CPM		PTP4A1	snoU13|ENSG00000238872.1	MIR647	LINC00559	SNORD95|ENSG00000264549.1	
				ADAM30	PHACTR1	TEF	snoU13|ENSG00000238403.1	ZNF670	TRBV28	METTL1	FAM138E	C8orf82	GRID2IP	MDM2		PHF3	RNA5SP68	MIR1914	SNORD38|ENSG00000200733.1	SNORD96A	
				PHGDH	RN7SKP293	TOB2	snoU13|ENSG00000238947.1	SNORA25|ENSG00000252011.1	TRBV27	TSPAN31	OR4F13P	MIR1234	FLJ20306	CPSF6		LGSN	RNA5SP67	C20ORF135	MIR622	LINC00847	
				REG4	SNORA67|ENSG00000207419.1	ZC3H7B	DUS1L	SNORD112|ENSG00000252495.1	TRBV19	TSFM	RN7SL209P	MIR939	RN7SL851P	NUP107		EYS	SNORD78|ENSG00000208317.1	SLC2A4RG		MIR340	
					snoU13|ENSG00000238896.1	L3MBTL2	PCYT2	ZNF124	TRBV9	CTDSP2	DNM1P47	TMEM249	SNORA42|ENSG00000207217.1				GAS5	MIR4326		RN7SKP150	
					RNA5SP203	CHADL	SLC25A10	AHCTF1	TRBV2	AVIL	snoU13|ENSG00000238502.1	DGAT1	RN7SL556P				RN7SKP160	MIR3196		MIR1229	
